Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Saint Vincent and the Grenadines,1680,9,1129,542,0,0.54,67.2,0.8,110854,15155.0,1663,17,1.02
Samoa,3,0,2,1,0,0.0,66.67,0.0,196130,15.0,3,0,0.0
San Marino,4126,77,3594,455,0,1.87,87.11,2.14,33938,121575.0,3922,204,5.2
Sao Tome and Principe,2078,32,1817,229,0,1.54,87.44,1.76,219159,9482.0,1950,128,6.56
Saudi Arabia,382407,6567,372703,3137,348,1.72,97.46,1.76,34813867,10984.0,379831,2576,0.68
Senegal,36892,963,32525,3404,166,2.61,88.16,2.96,16743930,2203.0,35857,1035,2.89
Serbia,516277,4719,0,511558,4226,0.91,0.0,9.386595744680852,8737370,59088.0,485439,30838,6.35
Seychelles,3315,16,2868,431,142,0.48,86.52,0.56,98340,33710.0,2979,336,11.28
Sierra Leone,3937,79,2779,1079,0,2.01,70.59,2.84,7976985,494.0,3920,17,0.43
Singapore,60105,30,59968,107,17,0.05,99.77,0.05,5850343,10274.0,60033,72,0.12
Slovakia,337503,8528,255300,73675,1268,2.53,75.64,3.34,5459643,61818.0,323390,14113,4.36
Slovenia,200374,3934,186147,10293,520,1.96,92.9,2.11,2078932,96383.0,195468,4906,2.51
Solomon Islands,18,0,16,2,0,0.0,88.89,0.0,652858,28.0,18,0,0.0
Somalia,9190,367,4230,4593,244,3.99,46.03,8.68,15893219,578.0,8321,869,10.44
South Africa,1529420,51326,1454290,23804,1006,3.36,95.09,3.53,59308690,25787.0,1521068,8352,0.55
South Sudan,9490,104,7906,1480,61,1.1,83.31,1.32,11193729,848.0,8766,724,8.26
Spain,3183704,72258,150376,2961070,0,2.27,4.72,48.05,93691843,33981.0,3149012,34692,1.1
Sri Lanka,87907,527,84648,2732,307,0.6,96.29,0.62,21413250,4105.0,85695,2212,2.58
Sudan,30873,1940,23397,5536,0,6.28,75.78,8.29,43849269,704.0,30540,333,1.09
Suriname,9024,176,8514,334,2,1.95,94.35,2.07,586634,15383.0,8977,47,0.52
Sweden,712527,13146,0,699381,0,1.84,0.0,9.386595744680852,20426859,34882.0,684961,27566,4.02
Switzerland,570645,10112,317600,242933,0,1.77,55.66,3.18,8654618,65935.0,562290,8355,1.49
Syria,16478,1099,10970,4409,77,6.67,66.57,10.02,17500657,942.0,15981,497,3.11
Taiwan*,985,10,950,25,1,1.02,96.45,1.05,23806638,41.0,969,16,1.65
Tajikistan,13308,90,13218,0,0,0.68,99.32,0.68,9537642,1395.0,13308,0,0.0
Tanzania,509,21,183,305,0,4.13,35.95,11.48,59734213,9.0,509,0,0.0
Thailand,27005,87,26234,684,78,0.32,97.14,0.33,69799978,387.0,26441,564,2.13
Timor-Leste,196,0,99,97,18,0.0,50.51,0.0,1318442,149.0,122,74,60.66
Togo,8070,95,6694,1281,117,1.18,82.95,1.42,8278737,975.0,7570,500,6.61
Trinidad and Tobago,7783,140,7531,112,14,1.8,96.76,1.86,1399491,5561.0,7736,47,0.61
Tunisia,241834,8389,207686,25759,577,3.47,85.88,4.04,11818618,20462.0,237704,4130,1.74
Turkey,2879390,29489,2701076,148825,13378,1.02,93.81,1.09,84339067,34141.0,2780417,98973,3.56
US,29438775,534888,0,28903887,38222,1.82,0.0,9.386595744680852,330541757,89062.0,29063082,375693,1.29
Uganda,40581,334,15095,25152,37,0.82,37.2,2.21,45741000,887.0,40464,117,0.29
Ukraine,1509983,29835,1267754,212394,9110,1.98,83.96,2.35,89634808,16846.0,1449741,60242,4.16
United Arab Emirates,426397,1395,405647,19355,1992,0.33,95.13,0.34,9890400,43112.0,410849,15548,3.78
United Kingdom,4271710,125753,11972,4133985,4695,2.94,0.28,1050.39,134862019,31675.0,4231166,40544,0.96
Uruguay,71691,712,60517,10462,1558,0.99,84.41,1.18,3473727,20638.0,63837,7854,12.3
Uzbekistan,80567,622,79242,703,86,0.77,98.36,0.78,33469199,2407.0,80176,391,0.49
Vanuatu,3,0,1,2,0,0.0,33.33,0.0,292680,10.0,1,2,200.0
Venezuela,145379,1430,137141,6808,0,0.98,94.33,1.04,28435943,5113.0,142338,3041,2.14
Vietnam,2554,35,2086,433,1,1.37,81.68,1.68,97338583,26.0,2512,42,1.67
West Bank and Gaza,209304,2268,186278,20758,1868,1.08,89.0,1.22,4543126,46070.0,196812,12492,6.35
Yemen,2836,689,1491,656,65,24.29,52.57,46.21,29825968,95.0,2473,363,14.68
Zambia,84797,1158,81756,1883,323,1.37,96.41,1.42,18383956,4613.0,82421,2376,2.88
Zimbabwe,36484,1503,34043,938,13,4.12,93.31,4.42,14862927,2455.0,36271,213,0.59
